Crop,Price_MMK_per_kg
Rice,4300
Sesame,2400
Groundnut,4500
Tobacco,1500
Tamarind,3500
Banana,2000
Pulses,7000
Chili,6000
Maize,250
Jute,1500
Sunflower,800
Sugarcane,500
Coffee,8000
Konjac,700
Apple,3000
Orange,3000
Millet,2500
Garlic,4000
Rubber,1800
Tea,5000
Soyabean,2500
Cotton,1000
Potato,500
Beans,2500
Toddy Palm,1000
Betel,6000
Durian,15000
Cardamom,3000
Mangosteen,2000
Avocado,7000
Carrot,2500
Onion,800
Ginger,2500
Coriander,1500
Guava, 2500
Turmeric,4000
Rambutan,4000
Pomelo,3000
Watermelon,1500
Wheat,2000
Niger seeds,2500
Logan fruit,3000
Pumpkin,1000
Mulberry,4000
Strawberry,9000
Damson,3000
Tomato,2000
Legume,6500
Eggplant,3800
Peanut,3000
